k,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary▼,Acquired
1,Johan Santana*\santajo02,29,NYM,234.1,34,34,74,2.84,4.60,0.09,0.18,98.0,4.60,47,5.2,,-0.2,7.1,66,.654,.532,$16984216,Traded
2,Andy Pettitte*\pettian01,36,NYY,204.0,33,33,112,4.94,4.71,-0.25,0.18,101.7,5.23,3,0.3,,-0.1,2.2,29,.509,.502,$16000000,Free Agency
3,Carlos Zambrano\zambrca01,27,CHC,188.2,30,30,85,4.05,4.61,-0.16,0.18,105.9,5.25,26,2.8,,-0.1,4.3,42,.594,.517,$16000000,Amateur Free Agent
4,Mike Hampton*\hamptmi01,35,ATL,78.0,13,13,45,5.19,4.57,0.20,0.18,99.5,4.52,-5,-0.5,,-0.1,0.1,1,.459,.497,$15975184,Traded
5,Tim Hudson\hudsoti01,32,ATL,142.0,23,22,53,3.36,4.51,0.19,0.18,98.0,4.41,17,1.9,.06,-0.1,3.0,29,.581,.512,$15500000,Traded
6,Randy Johnson*\johnsra05,44,ARI,184.0,30,30,92,4.50,4.55,-0.19,0.18,107.2,5.28,17,1.8,,-0.1,3.2,32,.560,.511,$15100546,Traded
7,Mariano Rivera\riverma01,38,NYY,70.2,64,0,11,1.40,4.77,-0.19,-0.35,102.7,4.73,25,2.6,1.94,1.0,4.3,34,.540,.516,$15000000,Free Agency
8,Barry Zito*\zitoba01,30,SFG,180.0,32,32,115,5.75,4.52,-0.14,0.18,102.0,4.93,-15,-1.5,,-0.1,-0.1,-1,.453,.491,$14500000,Free Agency
9,Mark Buehrle*\buehrma01,29,CHW,218.2,34,34,106,4.36,4.78,-0.21,0.18,105.3,5.45,22,2.4,,-0.2,4.4,50,.570,.515,$14000000,Amateur Draft
10,John Smoltz\smoltjo01,41,ATL,28.0,6,5,8,2.57,4.45,0.16,0.16,97.9,4.37,6,0.6,2.87,0.0,0.9,8,.604,.504,$14000000,Free Agency
11,A.J. Burnett\burnea.01,31,TOR,221.1,35,34,109,4.43,4.83,0.24,0.18,98.5,4.71,3,0.3,2.34,-0.2,2.4,31,.508,.502,$13200000,Free Agency
12,Roy Oswalt\oswalro01,30,HOU,208.2,32,32,89,3.84,4.62,0.08,0.18,99.2,4.69,21,2.2,,-0.1,3.8,38,.569,.514,$13000000,Amateur Draft
13,Ben Sheets\sheetbe01,29,MIL,198.1,31,31,74,3.36,4.61,0.23,0.18,98.1,4.48,26,2.8,,-0.1,4.3,42,.590,.517,$12125000,Amateur Draft
14,Jon Garland\garlajo01,28,LAA,196.2,32,32,116,5.31,4.73,0.06,0.18,101.9,4.94,-12,-1.1,,-0.1,0.7,13,.464,.493,$12000000,Traded
15,B.J. Ryan*\ryanb.01,32,TOR,58.0,60,0,21,3.26,4.84,0.23,-0.36,98.5,4.19,5,0.5,1.79,0.0,1.2,12,.508,.503,$12000000,Free Agency
16,Pedro Martinez\martipe02,36,NYM,109.0,20,20,70,5.78,4.66,0.10,0.19,98.1,4.65,-13,-1.3,,-0.1,-0.4,-4,.437,.492,$11813351,Free Agency
17,Javier Vazquez\vazquja01,31,CHW,208.1,33,33,113,4.88,4.85,-0.19,0.19,105.3,5.50,11,1.1,,-0.1,3.1,37,.533,.507,$11500000,Traded
18,Gil Meche\mechegi01,29,KCR,210.1,34,34,98,4.19,4.91,-0.42,0.19,101.1,5.58,28,3.0,,-0.2,5.0,55,.589,.519,$11400000,Free Agency
