Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos
1,David\'a0Aardsma\\aardsda01,33,ATL,NL,30,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
2,Fernando\'a0Abad*\\abadfe01,29,OAK,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
3,Jose\'a0Abreu\\abreujo02,28,CHW,AL,154,668,613,88,178,34,3,30,101,0,0,39,140,.290,.347,.502,.850,135,308,16,15,0,1,11,*3D\
4,A.J.\'a0Achter\\achteaj01,26,MIN,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
5,Dustin\'a0Ackley*\\ackledu01,27,TOT,AL,108,264,238,28,55,11,3,10,30,2,2,18,45,.231,.284,.429,.712,96,102,3,1,3,4,0,784/3D9\
6,Cristhian\'a0Adames#\\adamecr01,23,COL,NL,26,58,53,4,13,1,1,0,3,0,1,3,11,.245,.298,.302,.600,55,16,0,1,1,0,1,6/4\
7,Austin\'a0Adams\\adamsau01,28,CLE,AL,3,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,1,0,0,0,0,1\
8,Matt\'a0Adams*\\adamsma01,26,STL,NL,60,186,175,14,42,9,0,5,24,1,0,10,41,.240,.280,.377,.657,78,66,1,0,0,1,1,3\
9,Nathan\'a0Adcock\\adcocna01,27,CIN,NL,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
10,Ehire\'a0Adrianza#\\adriaeh01,25,SFG,NL,52,134,113,11,21,7,1,0,11,3,2,15,20,.186,.303,.265,.569,59,30,2,4,2,0,0,46/35\
11,Jeremy\'a0Affeldt*\\affelje01,36,SFG,NL,47,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
12,Jesus\'a0Aguilar\\aguilje01,25,CLE,AL,7,20,19,0,6,1,0,0,2,0,0,0,7,.316,.350,.368,.718,94,7,0,1,0,0,0,/3D\
13,Nick\'a0Ahmed\\ahmedni01,25,ARI,NL,134,459,421,49,95,17,6,9,34,4,5,29,81,.226,.275,.359,.634,69,151,4,1,5,3,1,*6\
14,Hanser\'a0Alberto\\alberha01,22,TEX,AL,41,104,99,12,22,2,1,0,4,1,0,2,17,.222,.238,.263,.500,35,26,2,0,3,0,0,4/65D\
15,Al\'a0Alburquerque\\albural01,29,DET,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
