k,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary▼,Acquired
1,Roger Clemens\clemero02,44,NYY,99.0,18,17,52,4.73,4.91,-0.09,0.18,102.1,5.29,5,0.5,.43,-0.1,1.5,17,.530,.503,$17400000,Free Agency
2,Bartolo Colon\colonba01,34,LAA,99.1,19,18,74,6.70,4.88,0.03,0.18,100.9,5.07,-19,-1.7,1.55,-0.1,-0.8,-7,.410,.489,$16000000,Free Agency
3,Andy Pettitte*\pettian01,35,NYY,215.1,36,34,106,4.43,4.89,-0.09,0.18,100.7,5.20,17,1.7,1.13,-0.1,3.8,43,.547,.510,$16000000,Free Agency
4,Jason Schmidt\schmija01,34,LAD,25.2,6,6,20,7.01,4.87,-0.03,0.20,96.5,4.93,-6,-0.5,,0.0,-0.3,-4,.411,.497,$15703946,Free Agency
5,Pedro Martinez\martipe02,35,NYM,28.0,5,5,11,3.54,4.76,0.20,0.19,96.9,4.61,3,0.4,,0.0,0.6,6,.573,.502,$14002234,Free Agency
6,A.J. Burnett\burnea.01,30,TOR,165.2,25,25,74,4.02,4.90,0.47,0.19,98.5,4.55,8,0.8,,-0.1,2.4,28,.534,.505,$13200000,Free Agency
7,Roy Oswalt\oswalro01,29,HOU,212.0,33,32,80,3.40,4.74,-0.33,0.19,100.8,5.31,46,5.0,1.83,-0.1,6.7,64,.652,.531,$13000000,Amateur Draft
8,Johan Santana*\santajo02,28,MIN,219.0,33,33,88,3.62,4.98,0.07,0.19,95.1,4.84,28,2.9,,-0.1,5.0,54,.588,.518,$13000000,Traded
9,Curt Schilling\schilcu01,40,BOS,151.0,24,24,68,4.05,5.15,0.07,0.20,105.1,5.55,24,2.5,,-0.1,4.0,42,.605,.515,$13000000,Free Agency
10,Roy Halladay\hallaro01,30,TOR,225.1,31,31,101,4.03,5.06,0.59,0.19,99.7,4.66,14,1.4,,-0.1,3.5,41,.545,.509,$12750000,Amateur Draft
11,Javier Vazquez\vazquja01,30,CHW,216.2,32,32,95,3.95,4.89,-0.36,0.19,103.8,5.65,39,4.2,,-0.1,6.2,65,.630,.526,$12500000,Traded
12,Carlos Zambrano\zambrca01,26,CHC,216.1,34,34,100,4.16,4.64,0.19,0.19,103.8,4.82,17,1.7,,-0.1,3.4,35,.551,.511,$12400000,Amateur Free Agent
13,Ben Sheets\sheetbe01,28,MIL,141.1,24,24,62,3.95,4.68,-0.09,0.19,101.2,5.02,18,1.8,,-0.1,2.9,30,.577,.511,$11125000,Amateur Draft
14,Mike Mussina\mussimi01,38,NYY,152.0,28,27,90,5.33,4.75,-0.10,0.17,101.8,5.11,-5,-0.5,.35,-0.1,1.0,13,.483,.497,$11070423,Free Agency
15,Mariano Rivera\riverma01,37,NYY,71.1,67,0,25,3.15,4.83,-0.08,-0.36,100.9,4.60,11,1.1,1.53,0.1,1.9,19,.516,.507,$10500000,Free Agency
16,Billy Wagner*\wagnebi02,35,NYM,68.1,66,0,22,2.90,4.82,0.17,-0.35,96.4,4.15,10,1.0,1.55,0.1,1.7,16,.515,.506,$10500000,Free Agency
17,Eric Milton*\miltoer01,31,CIN,31.1,6,6,21,6.03,4.76,-0.36,0.19,104.8,5.57,-1,-0.1,,0.0,0.1,1,.476,.499,$10333333,Free Agency
18,Matt Morris\morrima01,32,2TM,198.2,32,32,123,5.57,4.72,0.01,0.19,101.2,4.96,-12,-1.2,,-0.1,0.4,4,.464,.497,$10037283,Traded
19,Freddy Garcia\garcifr03,30,PHI,58.0,11,11,39,6.05,4.65,0.25,0.19,104.7,4.80,-8,-0.7,,0.0,-0.3,-3,.434,.495,$10000000,Traded
20,Jon Garland\garlajo01,27,CHW,208.1,32,32,114,4.92,4.98,-0.44,0.19,103.7,5.82,19,1.9,,-0.1,3.9,44,.561,.512,$10000000,Traded
21,Greg Maddux\maddugr01,41,SDP,198.0,34,34,92,4.18,4.72,-0.03,0.19,92.9,4.59,10,1.0,,-0.1,2.6,27,.530,.506,$10000000,Free Agency
22,Carl Pavano\pavanca01,31,NYY,11.1,2,2,7,5.56,4.71,-0.10,0.18,94.6,4.72,-1,-0.1,,0.0,0.0,0,.446,.499,$10000000,Free Agency
23,Barry Zito*\zitoba01,29,SFG,196.2,34,33,105,4.81,4.75,0.08,0.19,102.2,4.97,4,0.5,.38,-0.1,2.0,21,.513,.503,$10000000,Free Agency
24,Armando Benitez\benitar01,34,2TM,50.1,55,0,37,6.62,4.72,-0.17,-0.34,98.2,4.47,-12,-1.1,1.29,-0.2,-0.9,-7,.479,.496,$9866219,Traded
25,Jarrod Washburn*\washbja01,32,SEA,193.2,32,32,102,4.74,4.91,-0.34,0.19,96.6,5.25,9,0.9,,-0.1,2.8,33,.529,.506,$9850000,Free Agency
26,Kevin Millwood\millwke01,32,TEX,172.2,31,31,111,5.79,4.87,-0.05,0.19,99.2,5.07,-15,-1.4,,-0.1,0.2,6,.453,.491,$9836116,Free Agency
27,Mark Buehrle*\buehrma01,28,CHW,201.0,30,30,86,3.85,4.89,-0.43,0.19,103.3,5.69,39,4.2,,-0.1,6.1,64,.640,.526,$9500000,Amateur Draft
28,Derek Lowe\lowede01,34,LAD,199.1,33,32,100,4.52,4.69,-0.03,0.19,100.0,4.91,10,1.0,1.36,-0.1,2.5,27,.530,.506,$9500000,Free Agency
29,Randy Johnson*\johnsra05,43,ARI,56.2,10,10,26,4.13,4.87,0.18,0.20,111.6,5.45,9,0.9,,0.0,1.4,13,.591,.506,$9100546,Traded
30,Jose Contreras\contrjo01,35,CHW,189.0,32,30,134,6.38,5.01,-0.45,0.17,103.7,5.84,-13,-1.2,1.27,-0.1,0.6,10,.462,.492,$9000000,Traded
31,Kelvim Escobar\escobke01,31,LAA,195.2,30,30,79,3.63,4.90,0.03,0.19,99.6,5.04,29,3.0,,-0.1,4.9,53,.602,.519,$9000000,Free Agency
32,Vicente Padilla\padilvi01,29,TEX,120.1,23,23,88,6.58,4.89,-0.05,0.19,100.8,5.17,-20,-1.8,,-0.1,-0.7,-5,.421,.489,$9000000,Free Agency
33,Jason Isringhausen\isrinja01,34,STL,65.1,63,0,21,2.89,4.75,0.18,-0.34,98.8,4.18,10,1.0,1.31,0.0,1.5,15,.515,.506,$8750000,Free Agency
34,CC Sabathia*\sabatc.01,26,CLE,241.0,34,34,94,3.51,4.81,0.01,0.19,100.2,5.00,38,4.0,,-0.2,6.3,67,.618,.525,$8750000,Amateur Draft
