Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Acquired,Pos
1,Clayton\'a0Kershaw*\\kershcl01,28,LAD,23,50,-4,-1,0,0,7,3,0.3,0,3,0.3,.514,.502,0.3,0.0,3,$34571429,Amateur Draft,1\
2,Zack\'a0Greinke\\greinza01,32,ARI,27,60,-6,0,1,0,9,3,0.3,0,3,0.3,.511,.502,0.3,0.0,3,$34000000,Free Agency,1\
3,David\'a0Price*\\priceda01,30,BOS,35,11,-3,0,0,0,2,-1,-0.1,0,-1,-0.1,.498,.499,-0.1,0.0,-1,$30000000,Free Agency,1\
4,Miguel\'a0Cabrera\\cabremi01,33,DET,158,679,44,-1,-5,-6,-9,23,2.5,24,47,4.9,.515,.515,5.5,-1.5,53,$28000000,Traded,*3/D5\
5,Justin\'a0Verlander\\verlaju01,33,DET,34,5,-1,0,0,0,1,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$28000000,Amateur Draft,1\
6,Yoenis\'a0Cespedes\\cespeyo01,30,NYM,132,543,21,-1,-2,-3,-2,13,1.2,18,31,2.9,.510,.508,3.2,-0.6,34,$27500000,Free Agency,*78/D\
7,Felix\'a0Hernandez\\hernafe02,30,SEA,25,8,-2,0,0,0,1,-1,-0.1,0,-1,-0.1,.496,.499,-0.1,0.0,-1,$25857000,Amateur Free Agent,1\
8,Ryan\'a0Howard*\\howarry01,36,PHI,112,362,-8,-2,0,-9,-5,-25,-2.6,12,-13,-1.5,.477,.484,-0.6,-1.6,-4,$25000000,Amateur Draft,3/D\
9,Jon\'a0Lester*\\lestejo01,32,CHC,33,75,-10,0,-1,0,11,-1,-0.1,0,-1,-0.1,.499,.500,-0.1,0.0,-1,$25000000,Free Agency,1\
10,Albert\'a0Pujols\\pujolal01,36,LAA,152,650,11,-1,-3,-4,-13,-10,-0.8,23,14,1.4,.494,.494,1.8,-1.8,18,$25000000,Free Agency,*D3\
11,CC\'a0Sabathia*\\sabatc.01,35,NYY,30,2,-1,0,0,0,0,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,$25000000,Free Agency,1\
12,Robinson\'a0Cano*\\canoro01,33,SEA,161,715,31,1,1,11,3,46,4.9,25,71,7.3,.529,.529,6.1,1.6,60,$24000000,Free Agency,*4/D\
