k,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary▼,Acquired
1,Mike Mussina\mussimi01,36,NYY,179.2,30,30,93,4.66,4.82,-0.67,0.18,97.4,5.52,16,1.6,,-0.1,3.4,37,.554,.510,$19000000,Free Agency
2,Roger Clemens\clemero02,42,HOU,211.1,32,32,51,2.17,4.56,0.28,0.17,99.9,4.45,53,6.1,,-0.1,7.8,72,.691,.538,$18000000,Free Agency
3,Randy Johnson*\johnsra05,41,NYY,225.2,34,34,102,4.07,4.83,-0.61,0.18,97.2,5.46,33,3.5,,-0.1,5.7,59,.604,.522,$16000000,Traded
4,Kevin Brown\brownke01,40,NYY,73.1,13,13,57,7.00,4.70,-0.78,0.17,98.1,5.54,-12,-1.2,,0.0,-0.5,-4,.411,.493,$15714286,Traded
5,Mike Hampton*\hamptmi01,32,ATL,69.1,12,12,28,3.63,4.59,0.38,0.17,98.2,4.30,5,0.5,,0.0,1.1,11,.545,.503,$15125000,Traded
6,Chan Ho Park\parkch01,32,2TM,155.1,30,29,103,5.97,4.76,-0.27,0.17,100.1,5.22,-14,-1.3,2.89,-0.2,0.1,3,.456,.497,$15000000,Traded
7,Curt Schilling\schilcu01,38,BOS,93.1,32,11,59,5.69,4.93,-0.14,0.04,104.4,5.32,-5,-0.5,1.35,-0.1,0.4,6,.486,.497,$14500000,Traded
8,Javier Vazquez\vazquja01,28,ARI,215.2,33,33,112,4.67,4.50,-0.08,0.16,102.4,4.85,4,0.4,,-0.1,2.1,23,.513,.503,$11000000,Traded
9,Pedro Martinez\martipe02,33,NYM,217.0,31,31,69,2.86,4.72,-0.13,0.17,95.1,4.78,46,5.2,,-0.1,7.0,65,.669,.532,$10875000,Free Agency
10,Tom Glavine*\glavito02,39,NYM,211.1,33,33,88,3.75,4.57,-0.17,0.17,96.1,4.71,22,2.4,,-0.1,4.1,41,.574,.515,$10765608,Free Agency
11,Roy Halladay\hallaro01,28,TOR,141.2,19,19,39,2.48,4.91,0.35,0.18,103.1,4.88,37,4.1,,-0.1,5.5,53,.718,.526,$10500000,Amateur Draft
12,Mariano Rivera\riverma01,35,NYY,78.1,71,0,18,2.07,4.82,-0.55,-0.36,96.8,4.85,24,2.4,1.78,0.8,4.0,33,.534,.515,$10500000,Amateur Free Agent
13,Bartolo Colon\colonba01,32,LAA,222.2,33,33,93,3.76,4.79,0.27,0.18,96.9,4.55,18,1.8,,-0.1,4.0,44,.556,.511,$10000000,Free Agency
