Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos
1,Fernando\'a0Abad*\\abadfe01,26,HOU,NL,36,7,7,0,1,0,0,0,0,0,0,0,3,.143,.143,.143,.286,-22,1,1,0,0,0,0,1\
2,Bobby\'a0Abreu*\\abreubo01,38,TOT,MLB,100,257,219,29,53,11,1,3,24,6,2,37,56,.242,.350,.342,.693,94,75,7,0,0,1,3,7/D9\
3,Tony\'a0Abreu#\\abreuto01,27,KCR,AL,22,74,70,5,18,2,1,1,15,0,0,2,13,.257,.284,.357,.641,74,25,1,1,0,1,0,4/56D\
4,Jeremy\'a0Accardo\\accarje01,30,TOT,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
5,Alfredo\'a0Aceves\\aceveal01,29,BOS,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
6,Dustin\'a0Ackley*\\ackledu01,24,SEA,AL,153,668,607,84,137,22,2,12,50,13,3,59,124,.226,.294,.328,.622,77,199,3,0,1,1,7,*43/D\
7,Manny\'a0Acosta\\acostma01,31,NYM,NL,44,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
8,Matt\'a0Adams*\\adamsma01,23,STL,NL,27,91,86,8,21,6,0,2,13,0,0,5,24,.244,.286,.384,.669,82,33,3,0,0,0,0,3\
9,Mike\'a0Adams\\adamsmi03,33,TEX,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
10,Nathan\'a0Adcock\\adcocna01,24,KCR,AL,3,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
11,Jeremy\'a0Affeldt*\\affelje01,33,SFG,NL,62,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
12,Jonathan\'a0Albaladejo\\albaljo01,29,ARI,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1\
13,Matt\'a0Albers*\\alberma01,29,TOT,MLB,26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
14,Brandon\'a0Allen*\\allenbr01,26,TOT,AL,10,22,20,3,2,0,0,1,3,0,0,2,9,.100,.182,.250,.432,20,5,0,0,0,0,0,/37\
15,Yonder\'a0Alonso*\\alonsyo01,25,SDP,NL,155,619,549,47,150,39,0,9,62,3,0,62,101,.273,.348,.393,.741,110,216,14,3,1,4,9,*3\
16,Jose\'a0Altuve\\altuvjo01,22,HOU,NL,147,630,576,80,167,34,4,7,37,33,11,40,74,.290,.340,.399,.740,101,230,8,6,4,4,0,*4\
17,Henderson\'a0Alvarez\\alvarhe01,22,TOR,AL,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
18,Pedro\'a0Alvarez*\\alvarpe01,25,PIT,NL,149,586,525,64,128,25,1,30,85,1,0,57,180,.244,.317,.467,.784,115,245,10,1,0,3,6,*5/D\
19,Alexi\'a0Amarista*\\amarial01,23,TOT,MLB,106,300,275,36,66,15,5,5,32,8,4,17,42,.240,.282,.385,.668,87,106,2,0,6,2,1,4768/95D\
20,Hector\'a0Ambriz*\\ambrihe01,28,HOU,NL,18,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
21,Bryan\'a0Anderson*\\anderbr05,25,STL,NL,10,14,12,2,3,1,0,0,0,1,0,1,6,.250,.357,.333,.690,92,4,0,1,0,0,0,/23\
22,Lars\'a0Anderson*\\anderla03,24,BOS,AL,6,8,8,1,1,0,0,0,0,0,0,0,3,.125,.125,.125,.250,-32,1,0,0,0,0,0,/73\
23,Robert\'a0Andino\\andinro01,28,BAL,AL,127,431,384,41,81,13,1,7,28,5,5,37,100,.211,.283,.305,.588,61,117,13,2,7,1,0,45/687\
24,Elvis\'a0Andrus\\andruel01,23,TEX,AL,158,711,629,85,180,31,9,3,62,21,10,57,96,.286,.349,.378,.727,94,238,15,5,17,3,0,*6/D\
25,Rick\'a0Ankiel*\\ankieri01,32,WSN,NL,68,171,158,15,36,10,2,5,15,1,3,12,59,.228,.282,.411,.694,85,65,3,0,1,0,3,8\
26,Norichika\'a0Aoki*\\aokino01,30,MIL,NL,151,588,520,81,150,37,4,10,50,30,8,43,55,.288,.355,.433,.787,109,225,6,13,7,5,1,*987\
27,Chris\'a0Archer\\archech01,23,TBR,AL,4,3,3,1,0,0,0,0,0,0,1,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1\
28,J.P.\'a0Arencibia\\arencjp01,26,TOR,AL,102,372,347,45,81,16,0,18,56,1,0,18,108,.233,.275,.435,.710,90,151,4,3,1,3,1,2/D\
29,Joaquin\'a0Arias\\ariasjo01,27,SFG,NL,112,344,319,30,86,13,5,5,34,5,1,13,44,.270,.304,.389,.693,97,124,12,5,2,5,4,56/4\
30,Jose\'a0Arredondo\\arredjo01,28,CIN,NL,64,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
31,Jake\'a0Arrieta\\arrieja01,26,BAL,AL,2,4,3,0,0,0,0,0,0,0,0,1,2,.000,.250,.000,.250,-23,0,0,0,0,0,0,1\
32,Bronson\'a0Arroyo\\arroybr01,35,CIN,NL,30,71,63,4,9,1,0,1,3,0,0,1,28,.143,.154,.206,.360,-5,13,1,0,6,1,0,1\
33,Jairo\'a0Asencio\\valdelu01,29,TOT,MLB,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
34,Scott\'a0Atchison\\atchisc01,36,BOS,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
35,Phillippe\'a0Aumont*\\aumonph01,23,PHI,NL,18,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
