k,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary▼,Acquired
1,Kevin Brown\brownke01,38,LAD,211.0,32,32,67,2.86,4.61,0.38,0.18,91.3,4.03,27,2.9,,-0.1,4.5,46,.590,.518,$15714286,Free Agency
2,Pedro Martinez\martipe02,31,BOS,186.2,29,29,52,2.51,4.86,-0.12,0.18,101.4,5.24,57,6.2,,-0.1,8.0,78,.715,.539,$15500000,Traded
3,Randy Johnson*\johnsra05,39,ARI,114.0,18,18,61,4.82,4.45,-0.16,0.17,113.0,5.40,7,0.7,,-0.1,1.6,17,.540,.504,$15000000,Free Agency
4,Greg Maddux\maddugr01,37,ATL,218.1,36,36,112,4.62,4.55,0.23,0.18,100.0,4.50,-4,-0.4,,-0.1,1.3,16,.490,.498,$14750000,Free Agency
5,Mike Hampton*\hamptmi01,30,ATL,190.0,31,31,91,4.31,4.59,0.23,0.18,99.9,4.53,4,0.4,,-0.1,1.9,21,.513,.502,$13625000,Traded
6,Chan Ho Park\parkch01,30,TEX,29.2,7,7,26,7.89,5.14,0.35,0.19,112.0,5.58,-8,-0.7,,0.0,-0.4,-4,.403,.496,$13000000,Free Agency
7,Darren Dreifort\dreifda01,31,LAD,60.1,10,10,29,4.33,4.61,0.37,0.18,93.5,4.14,-2,-0.2,,0.0,0.3,4,.485,.499,$12400000,Free Agency
8,Mike Mussina\mussimi01,34,NYY,214.2,31,31,86,3.61,5.04,-0.24,0.19,98.3,5.38,43,4.5,,-0.1,6.6,67,.647,.528,$12000000,Free Agency
9,Kevin Appier\appieke01,35,2TM,111.2,23,23,69,5.56,4.90,0.07,0.19,97.5,4.90,-8,-0.7,,-0.1,0.4,4,.469,.495,$11500000,Traded
10,Andy Pettitte*\pettian01,31,NYY,208.1,33,33,109,4.71,4.93,-0.26,0.19,96.0,5.17,11,1.1,,-0.1,3.1,34,.533,.507,$11500000,Amateur Draft
11,Tom Glavine*\glavito02,37,NYM,183.1,32,32,94,4.61,4.72,-0.28,0.18,98.3,5.09,9,0.9,,-0.1,2.4,26,.529,.506,$11000000,Free Agency
12,John Smoltz\smoltjo01,36,ATL,64.1,62,0,9,1.26,4.63,0.17,-0.34,99.9,4.11,20,2.1,1.68,0.6,3.3,26,.534,.513,$10666667,Free Agency
13,Matt Morris\morrima01,28,STL,172.1,27,27,76,3.97,4.64,-0.05,0.18,95.7,4.66,12,1.3,,-0.1,2.7,28,.549,.508,$10500000,Amateur Draft
14,Mariano Rivera\riverma01,33,NYY,70.2,64,0,15,1.91,4.84,-0.23,-0.36,96.6,4.56,21,2.1,1.83,0.7,3.6,29,.533,.513,$10500000,Amateur Free Agent
15,Roger Clemens\clemero02,40,NYY,211.2,33,33,99,4.21,4.83,-0.24,0.18,95.7,5.04,20,2.0,,-0.1,4.1,43,.561,.512,$10100000,Free Agency
16,Curt Schilling\schilcu01,36,ARI,168.0,24,24,58,3.11,4.64,-0.15,0.18,107.7,5.35,41,4.7,,-0.1,6.0,56,.695,.529,$10000000,Traded
17,Kevin Millwood\millwke01,28,PHI,222.0,35,35,103,4.18,4.65,0.12,0.18,94.3,4.43,5,0.6,,-0.2,2.3,26,.516,.503,$9900000,Free Agency
18,Trevor Hoffman\hoffmtr01,35,SDP,9.0,9,0,2,2.00,4.38,0.00,-0.32,90.9,3.69,2,0.2,.23,-0.1,0.2,2,.519,.501,$9600000,Traded
19,Denny Neagle*\neaglde01,34,COL,35.1,7,7,31,7.90,4.20,0.07,0.16,120.3,5.17,-11,-1.0,,0.0,-0.7,-8,.361,.494,$9000000,Free Agency
20,Brad Radke\radkebr01,30,MIN,212.1,33,33,111,4.70,4.71,-0.03,0.18,99.3,4.88,4,0.4,,-0.1,2.5,28,.513,.503,$8750000,Amateur Draft
21,Andy Ashby\ashbyan01,35,LAD,73.0,21,12,42,5.18,4.55,0.46,0.09,96.5,4.03,-10,-0.9,.76,0.0,-0.4,-3,.455,.494,$8500000,Free Agency
22,Bartolo Colon\colonba01,30,CHW,242.0,34,34,107,3.98,4.86,0.13,0.18,101.3,4.97,27,2.8,,-0.2,5.1,54,.583,.517,$8250000,Traded
23,Aaron Sele\seleaa01,33,ANA,121.2,25,25,82,6.07,4.84,0.15,0.18,95.5,4.66,-19,-1.7,,-0.1,-0.6,-5,.431,.489,$8166667,Free Agency
24,Al Leiter*\leiteal01,37,NYM,180.2,30,30,83,4.13,4.85,-0.25,0.19,98.2,5.19,20,2.2,,-0.1,3.6,37,.573,.514,$8000000,Traded
25,Rick Reed\reedri01,38,MIN,135.0,27,21,80,5.33,4.82,-0.03,0.14,101.0,5.04,-4,-0.4,1.28,-0.1,0.9,11,.485,.498,$8000000,Traded
26,Kazuhiro Sasaki\sasakka01,35,SEA,33.1,35,0,17,4.59,4.92,0.22,-0.37,96.1,4.16,-2,-0.2,1.05,-0.1,0.1,2,.496,.499,$8000000,Amateur Free Agent
27,Billy Wagner*\wagnebi02,31,HOU,86.0,78,0,18,1.88,4.74,0.31,-0.35,100.7,4.11,21,2.2,1.55,0.4,3.4,29,.528,.513,$8000000,Amateur Draft
