k,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary▼,Acquired
1,Kevin Brown\brownke01,37,LAD,63.2,17,10,36,5.09,4.47,0.27,0.06,90.0,3.83,-9,-0.9,.97,-0.1,-0.4,-4,.446,.494,$15714286,Free Agency
2,Pedro Martinez\martipe02,30,BOS,199.1,30,30,62,2.80,4.84,0.32,0.18,101.2,4.76,42,4.6,,-0.1,6.5,66,.653,.528,$14000000,Traded
3,Randy Johnson*\johnsra05,38,ARI,260.0,35,35,78,2.70,4.55,-0.02,0.18,112.2,5.32,75,8.9,,-0.2,10.9,98,.753,.555,$13350000,Free Agency
4,Greg Maddux\maddugr01,36,ATL,199.1,34,34,67,3.03,4.50,0.50,0.17,100.9,4.21,25,2.8,,-0.1,4.4,43,.582,.517,$13100000,Free Agency
5,Mike Mussina\mussimi01,33,NYY,215.2,33,33,103,4.30,4.86,-0.33,0.18,99.1,5.32,23,2.4,,-0.1,4.5,49,.574,.515,$11000000,Free Agency
6,Roger Clemens\clemero02,39,NYY,180.0,29,29,94,4.70,4.73,-0.31,0.17,99.2,5.17,9,0.9,,-0.1,2.6,30,.530,.505,$10300000,Free Agency
7,Curt Schilling\schilcu01,35,ARI,259.1,36,35,95,3.30,4.54,-0.02,0.17,112.7,5.34,58,6.7,.04,-0.2,8.7,81,.686,.541,$10000000,Traded
8,Mike Hampton*\hamptmi01,29,COL,178.2,30,30,135,6.80,4.68,0.24,0.18,109.4,5.06,-35,-3.3,,-0.1,-1.9,-20,.389,.479,$9503543,Free Agency
9,Kevin Appier\appieke01,34,ANA,188.1,32,32,89,4.25,4.79,0.61,0.18,98.6,4.29,0,0.0,,-0.1,1.8,22,.499,.500,$9500000,Traded
10,Andy Pettitte*\pettian01,30,NYY,134.2,22,22,58,3.88,4.63,-0.36,0.17,99.9,5.15,18,1.9,,-0.1,3.2,34,.587,.512,$9500000,Amateur Draft
11,Mariano Rivera\riverma01,32,NYY,46.0,45,0,16,3.13,4.78,-0.32,-0.36,98.6,4.67,8,0.8,2.07,0.3,1.6,13,.517,.505,$9450000,Amateur Free Agent
12,Al Leiter*\leiteal01,36,NYM,204.1,33,33,99,4.36,4.59,-0.14,0.18,97.4,4.77,9,0.9,,-0.1,2.5,27,.527,.506,$9250000,Traded
13,Brad Radke\radkebr01,29,MIN,118.1,21,21,64,4.87,4.44,0.14,0.16,101.1,4.51,-5,-0.5,,-0.1,0.6,8,.475,.497,$8750000,Amateur Draft
14,Tom Glavine*\glavito02,36,ATL,224.2,36,36,85,3.41,4.53,0.49,0.17,101.6,4.28,21,2.3,,-0.1,4.1,41,.563,.514,$8623700,Amateur Draft
15,Robb Nen\nenro01,32,SFG,73.2,68,0,19,2.32,4.56,0.21,-0.34,95.2,3.82,12,1.3,1.98,0.5,2.4,19,.519,.508,$8300000,Traded
16,Wilson Alvarez*\alvarwi01,32,TBD,75.0,23,10,47,5.64,4.87,-0.05,-0.03,103.7,5.07,-5,-0.5,1.06,-0.1,0.2,4,.478,.497,$8000000,Free Agency
17,Andy Ashby\ashbyan01,34,LAD,181.2,30,30,85,4.21,4.55,0.29,0.18,94.9,4.21,-1,-0.1,,-0.1,1.4,15,.497,.499,$8000000,Free Agency
18,Todd Stottlemyre\stottto01,37,ARI,20.1,5,4,17,7.52,4.35,-0.03,0.14,106.1,4.80,-6,-0.6,.01,0.0,-0.4,-4,.383,.496,$8000000,Free Agency
19,Billy Wagner*\wagnebi02,30,HOU,75.0,70,0,21,2.52,4.47,-0.21,-0.33,106.4,4.63,17,1.8,1.48,0.3,2.8,24,.526,.511,$8000000,Amateur Draft
20,Chuck Finley*\finlech01,39,2TM,190.2,32,32,97,4.58,4.52,-0.04,0.17,99.4,4.70,2,0.2,,-0.1,1.8,21,.505,.501,$7911948,Free Agency
21,Shane Reynolds\reynosh01,34,HOU,74.0,13,13,43,5.23,4.59,-0.30,0.18,104.2,5.29,0,0.0,,0.0,0.6,7,.501,.500,$7666667,Free Agency
22,John Smoltz\smoltjo01,35,ATL,80.1,75,0,30,3.36,4.59,0.39,-0.34,100.3,3.87,4,0.4,1.88,0.0,1.2,11,.506,.503,$7666667,Free Agency
23,Kenny Rogers*\rogerke01,37,TEX,210.2,33,33,101,4.31,4.93,-0.14,0.18,106.0,5.57,28,3.0,,-0.1,5.0,53,.590,.518,$7500000,Free Agency
24,Woody Williams\williwo02,35,STL,103.1,17,17,30,2.61,4.31,0.29,0.17,97.8,4.10,17,1.9,,-0.1,2.7,26,.610,.512,$7300000,Free Agency
25,Jose Lima\limajo01,29,DET,68.1,20,12,60,7.90,5.01,-0.27,0.06,92.8,4.95,-23,-2.1,.43,0.1,-1.3,-15,.397,.487,$7250000,Traded
26,Darryl Kile\kileda01,33,STL,84.2,14,14,36,3.83,4.40,0.32,0.17,99.2,4.22,3,0.4,,0.0,1.0,11,.525,.502,$7166667,Traded
27,Aaron Sele\seleaa01,32,ANA,160.0,26,26,92,5.18,4.82,0.69,0.18,100.3,4.32,-16,-1.5,,-0.1,0.0,3,.442,.491,$7166667,Free Agency
28,Denny Neagle*\neaglde01,33,COL,164.1,35,28,101,5.53,4.56,0.21,0.15,117.0,5.26,-6,-0.6,1.00,-0.1,0.7,9,.484,.496,$7000000,Free Agency
29,Darren Oliver*\oliveda02,31,BOS,58.0,14,9,30,4.66,4.93,0.43,0.08,100.7,4.61,-1,-0.1,.72,-0.1,0.5,6,.496,.500,$7000000,Traded
30,Rick Reed\reedri01,37,MIN,188.0,33,32,89,4.26,4.80,0.14,0.17,98.7,4.78,10,1.0,1.44,-0.1,2.8,32,.530,.506,$7000000,Traded
31,Chan Ho Park\parkch01,29,TEX,145.2,25,25,95,5.87,4.70,-0.13,0.17,106.1,5.31,-10,-0.9,,-0.1,0.5,7,.462,.494,$6884803,Free Agency
32,Todd Zeile\zeileto01,36,COL,1.0,1,0,0,0.00,4.84,0.13,-0.36,132.0,5.75,1,0.1,.00,0.0,0.0,1,.570,.500,$6833333,Traded
33,Ugueth Urbina\urbinug01,28,BOS,60.0,61,0,21,3.15,4.84,0.32,-0.37,101.0,4.19,7,0.7,1.70,0.1,1.4,14,.511,.504,$6700000,Traded
34,Trevor Hoffman\hoffmtr01,34,SDP,59.1,61,0,20,3.03,4.62,-0.37,-0.34,90.2,4.20,7,0.8,1.70,0.1,1.5,13,.513,.505,$6600000,Traded
35,Jamie Moyer*\moyerja01,39,SEA,230.2,34,34,89,3.47,4.92,0.03,0.18,94.6,4.79,33,3.4,,-0.2,5.6,59,.601,.521,$6500000,Free Agency
36,Andy Benes\benesan01,34,STL,97.0,18,17,39,3.62,4.35,0.30,0.15,98.9,4.17,5,0.6,.02,-0.1,1.3,14,.533,.504,$6367542,Free Agency
37,Robert Person\persoro01,32,PHI,87.2,16,16,58,5.95,4.42,0.15,0.17,90.9,4.04,-19,-1.8,,-0.1,-1.1,-11,.388,.489,$6250000,Traded
38,Shawn Estes*\estessh01,29,2TM,160.2,29,29,94,5.27,4.55,-0.12,0.18,97.2,4.70,-11,-1.0,,-0.1,0.3,4,.465,.498,$6200000,Traded
39,Dave Mlicki\mlickda01,34,HOU,86.0,22,16,57,5.97,4.46,-0.31,0.12,108.2,5.29,-7,-0.7,.37,0.0,0.0,1,.468,.496,$6200000,Traded
40,Esteban Loaiza\loaizes01,30,TOR,151.1,25,25,102,6.07,4.88,-0.05,0.18,103.6,5.29,-14,-1.3,,-0.1,0.1,4,.448,.492,$6050000,Traded
41,Roberto Hernandez\hernaro01,37,KCR,52.0,53,0,29,5.02,4.90,-0.13,-0.37,111.2,5.18,1,0.1,1.67,-0.1,0.5,7,.501,.500,$6000000,Traded
42,Charles Nagy\nagych01,35,CLE,48.2,19,7,51,9.43,4.69,-0.38,-0.04,99.4,5.00,-24,-2.2,.07,0.3,-1.3,-19,.386,.487,$6000000,Amateur Draft
43,Dustin Hermanson\hermadu01,29,BOS,22.0,12,1,19,7.77,5.04,0.51,-0.25,101.9,4.37,-8,-0.8,.87,0.0,-0.6,-6,.434,.495,$5833333,Traded
44,Jon Lieber\liebejo01,32,CHC,141.0,21,21,64,4.09,4.52,-0.40,0.17,97.4,4.96,13,1.4,,-0.1,2.6,26,.569,.509,$5833333,Traded
45,Armando Benitez\benitar01,29,NYM,67.1,62,0,20,2.67,4.54,-0.11,-0.34,96.6,4.17,11,1.2,1.60,0.2,2.0,17,.519,.507,$5812500,Traded
46,John Burkett\burkejo03,37,BOS,173.0,29,29,93,4.84,4.72,0.43,0.17,101.1,4.51,-7,-0.7,,-0.1,1.0,13,.476,.496,$5500000,Free Agency
47,Brian Anderson*\anderbr02,30,ARI,156.0,35,24,86,4.96,4.60,-0.03,0.13,112.1,5.34,6,0.6,.76,-0.1,1.8,20,.518,.504,$5375000,Expansion Draft
48,Troy Percival\percitr01,32,ANA,56.1,58,0,12,1.92,4.82,0.47,-0.37,99.2,3.96,12,1.3,2.02,0.5,2.4,19,.522,.508,$5250000,Amateur Draft
49,Mike Timlin\timlimi01,36,2TM,96.2,72,1,35,3.26,4.44,0.25,-0.31,96.0,3.73,5,0.5,1.02,-0.2,1.1,13,.507,.502,$5250000,Traded
50,Scott Erickson\ericksc01,34,BAL,160.2,29,28,109,6.11,5.07,0.29,0.18,95.3,4.72,-26,-2.4,.36,-0.1,-0.8,-7,.419,.485,$5142986,Traded
51,Kazuhiro Sasaki\sasakka01,34,SEA,60.2,61,0,24,3.56,4.90,0.03,-0.37,95.9,4.32,5,0.5,1.87,0.1,1.2,12,.508,.503,$5070000,Amateur Free Agent
52,Omar Daal*\daalom01,30,LAD,161.1,39,23,73,4.07,4.60,0.28,0.08,94.5,4.16,1,0.1,1.09,-0.1,1.3,15,.502,.501,$5000000,Traded
53,Jason Schmidt\schmija01,29,SFG,185.1,29,29,78,3.79,4.57,0.21,0.18,94.0,4.26,9,1.0,,-0.1,2.4,25,.533,.506,$4937500,Traded
54,Sterling Hitchcock*\hitchst01,31,NYY,39.1,20,2,29,6.64,4.78,-0.41,-0.25,101.3,5.01,-7,-0.7,.56,0.0,-0.2,-3,.465,.496,$4936719,Traded
55,Bartolo Colon\colonba01,29,2TM,233.1,33,33,85,3.28,4.62,-0.19,0.17,101.8,5.08,45,5.0,,-0.1,7.1,69,.653,.515,$4925000,Amateur Free Agent
56,Kirk Rueter*\rueteki01,31,SFG,203.2,33,33,83,3.67,4.48,0.27,0.17,96.0,4.21,11,1.2,,-0.1,2.8,29,.537,.507,$4866667,Traded
57,Javier Vazquez\vazquja01,25,MON,230.1,34,34,111,4.34,4.43,-0.08,0.17,102.7,4.81,11,1.2,,-0.1,3.0,32,.535,.507,$4725000,Amateur Draft
58,Hideo Nomo\nomohi01,33,LAD,220.1,34,34,92,3.76,4.61,0.26,0.18,91.3,4.14,8,0.9,,-0.1,2.6,28,.526,.505,$4500000,Free Agency
59,Matt Mantei\mantema01,28,ARI,26.2,31,0,15,5.06,4.87,-0.03,-0.36,107.2,4.86,-1,-0.1,.69,0.0,0.1,2,.498,.500,$4333333,Traded
60,Jaret Wright\wrighja02,26,CLE,18.1,8,6,34,16.69,4.56,-0.44,0.11,98.9,5.05,-24,-1.8,.67,0.0,-1.6,-22,.271,.489,$4312500,Amateur Draft
61,Steve Trachsel\trachst01,31,NYM,173.2,30,30,80,4.15,4.51,-0.15,0.17,97.2,4.70,10,1.1,,-0.1,2.4,25,.535,.507,$4300000,Free Agency
62,Dave Veres\veresda01,35,STL,82.2,71,0,34,3.70,4.42,0.28,-0.33,98.9,3.78,0,0.0,1.12,-0.2,0.6,8,.501,.500,$4250000,Traded
63,Jamey Wright\wrighja01,27,2TM,129.1,23,22,80,5.57,4.39,-0.04,0.17,98.7,4.54,-15,-1.5,.06,-0.1,-0.5,-4,.434,.493,$4250000,Traded
64,Pat Hentgen\hentgpa01,33,BAL,22.0,4,4,20,8.18,5.24,0.31,0.19,98.9,5.07,-8,-0.7,,0.0,-0.4,-5,.337,.496,$4246877,Free Agency
65,Jose Mesa\mesajo01,36,PHI,75.2,74,0,26,3.09,4.48,0.14,-0.33,92.9,3.72,5,0.5,1.69,0.0,1.2,12,.507,.503,$4200000,Free Agency
66,Jeff Suppan\suppaje01,27,KCR,208.0,33,33,134,5.80,4.82,-0.13,0.18,109.0,5.59,-6,-0.6,,-0.1,1.4,18,.483,.497,$4150000,Purchased
67,Danys Baez\baezda01,24,CLE,165.1,39,26,84,4.57,4.85,-0.29,0.14,97.2,5.14,10,1.0,1.76,-0.1,2.6,29,.525,.506,$4125000,Amateur Free Agent
68,Armando Reynoso\reynoar02,36,ARI,1.2,2,0,2,10.80,4.35,-0.03,-0.32,127.6,5.18,-1,-0.1,.14,0.0,-0.1,-1,.448,.499,$4125000,Free Agency
69,Pedro Astacio\astacpe01,33,NYM,191.2,31,31,106,4.98,4.49,-0.14,0.17,97.3,4.68,-7,-0.7,,-0.1,0.8,10,.476,.495,$4000000,Free Agency
70,Keith Foulke\foulkke01,29,CHW,77.2,65,0,26,3.01,4.73,0.07,-0.36,100.3,4.31,11,1.1,1.01,-0.2,1.7,20,.517,.507,$4000000,Traded
71,Bobby Jones\jonesbo03,32,SDP,108.0,19,18,68,5.67,4.66,-0.51,0.18,87.5,4.67,-12,-1.2,2.24,-0.1,-0.4,-3,.436,.492,$4000000,Free Agency
72,Steve Karsay\karsast01,30,NYY,88.1,78,0,33,3.36,4.85,-0.35,-0.37,100.3,4.84,14,1.4,1.49,0.1,2.5,24,.518,.509,$4000000,Free Agency
73,Albie Lopez\lopezal02,30,ATL,55.2,30,4,29,4.69,4.55,0.51,-0.16,99.5,3.86,-5,-0.6,.37,0.0,0.0,0,.482,.497,$4000000,Free Agency
74,Eric Milton*\miltoer01,26,MIN,171.0,29,29,96,5.05,4.72,0.13,0.17,100.0,4.76,-7,-0.6,,-0.1,1.0,13,.478,.496,$4000000,Traded
75,Matt Morris\morrima01,27,STL,210.1,32,32,86,3.68,4.43,0.30,0.17,97.6,4.20,11,1.2,,-0.1,2.9,30,.538,.507,$4000000,Amateur Draft
76,Kevin Millwood\millwke01,27,ATL,217.0,35,34,83,3.44,4.49,0.46,0.16,101.2,4.25,18,2.0,.92,-0.1,3.7,38,.557,.512,$3900000,Amateur Draft
77,Freddy Garcia\garcifr03,25,SEA,223.2,34,34,110,4.43,4.89,0.03,0.18,95.2,4.79,8,0.8,,-0.2,2.9,34,.523,.505,$3800000,Traded
78,Steve Parris\parrist01,34,TOR,75.1,14,14,50,5.97,4.83,-0.05,0.18,106.3,5.38,-5,-0.5,,-0.1,0.2,3,.463,.497,$3775000,Traded
79,Kerry Wood\woodke02,25,CHC,213.2,33,33,92,3.88,4.52,-0.31,0.17,98.5,4.93,24,2.7,,-0.1,4.3,43,.580,.516,$3695000,Amateur Draft
80,Livan Hernandez\hernali01,27,SFG,216.0,33,33,113,4.71,4.54,0.25,0.18,94.6,4.23,-12,-1.3,,-0.1,0.5,7,.462,.492,$3625000,Traded
81,Antonio Alfonseca\alfonan01,30,CHC,74.1,66,0,34,4.12,4.48,-0.36,-0.33,98.9,4.46,3,0.3,1.29,-0.1,0.8,9,.504,.502,$3550000,Traded
82,Todd Ritchie\ritchto01,30,CHW,133.2,26,23,104,7.00,4.63,0.09,0.16,102.2,4.80,-33,-3.0,.39,-0.1,-1.7,-18,.385,.482,$3533333,Traded
83,Danny Graves\graveda01,28,CIN,98.2,68,4,37,3.38,4.47,0.00,-0.23,104.6,4.42,11,1.2,1.67,0.1,2.2,20,.517,.507,$3525000,Traded
84,Arthur Rhodes*\rhodear01,32,SEA,69.2,66,0,18,2.33,4.94,0.02,-0.37,95.3,4.32,15,1.5,1.84,0.5,2.7,23,.523,.509,$3500000,Free Agency
85,Chris Carpenter\carpech01,27,TOR,73.1,13,13,45,5.52,4.85,-0.05,0.18,105.1,5.33,-2,-0.2,,0.0,0.5,7,.486,.499,$3450000,Amateur Draft
86,Paul Abbott\abbotpa01,34,SEA,26.1,7,5,36,12.30,5.25,0.04,0.08,97.8,5.17,-21,-1.6,.98,0.0,-1.4,-18,.270,.490,$3425000,Free Agency
87,Jason Bere\bereja01,31,CHC,85.2,16,16,63,6.62,4.44,-0.39,0.17,98.2,4.91,-17,-1.6,,-0.1,-0.9,-9,.401,.490,$3400000,Free Agency
