k,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary▼,Acquired
1,Mike Mussina\mussimi01,37,NYY,197.1,32,32,88,4.01,5.01,-0.32,0.19,99.4,5.49,30,3.1,,-0.1,5.0,55,.597,.519,$19000000,Free Agency
2,Andy Pettitte*\pettian01,34,HOU,214.1,36,35,114,4.79,4.78,0.28,0.19,99.6,4.67,-2,-0.2,2.36,-0.1,1.5,17,.494,.499,$16428416,Free Agency
3,Randy Johnson*\johnsra05,42,NYY,205.0,33,33,125,5.49,4.98,-0.32,0.19,99.7,5.48,-3,-0.3,,-0.1,1.7,23,.492,.498,$15661427,Traded
4,Chan Ho Park\parkch01,33,SDP,136.2,24,21,81,5.33,4.79,0.29,0.17,91.6,4.27,-16,-1.5,.57,-0.1,-0.4,-4,.439,.491,$15505142,Traded
5,Pedro Martinez\martipe02,34,NYM,132.2,23,23,72,4.88,4.98,0.19,0.20,96.3,4.80,-1,-0.1,,-0.1,1.0,11,.497,.500,$14875000,Free Agency
6,Bartolo Colon\colonba01,33,LAA,56.1,10,10,39,6.23,4.85,0.00,0.19,100.4,5.06,-8,-0.7,,0.0,-0.2,-1,.426,.495,$14000000,Free Agency
7,Curt Schilling\schilcu01,39,BOS,204.0,31,31,90,3.97,5.03,-0.17,0.19,103.3,5.57,34,3.5,,-0.1,5.5,59,.614,.522,$13000000,Traded
8,Roy Halladay\hallaro01,29,TOR,220.0,32,32,82,3.35,4.88,0.38,0.19,100.3,4.70,30,3.1,,-0.1,5.3,58,.598,.519,$12750000,Amateur Draft
9,Roger Clemens\clemero02,43,HOU,113.1,19,19,34,2.70,4.70,0.24,0.18,99.6,4.63,25,2.6,,-0.1,3.5,35,.638,.516,$12200000,Free Agency
10,Javier Vazquez\vazquja01,29,CHW,202.2,33,32,116,5.15,5.01,-0.21,0.19,103.8,5.61,8,0.8,.53,-0.1,2.7,33,.523,.505,$12000000,Traded
11,Kerry Wood\woodke02,29,CHC,19.2,4,4,13,5.95,4.80,-0.08,0.19,100.4,5.08,-2,-0.2,,0.0,0.0,0,.456,.499,$12000000,Free Agency
12,Roy Oswalt\oswalro01,28,HOU,220.2,33,32,76,3.10,4.76,0.27,0.18,99.6,4.66,39,4.1,2.36,-0.1,5.9,58,.625,.525,$11000000,Amateur Draft
13,John Smoltz\smoltjo01,39,ATL,232.0,35,35,93,3.61,4.92,-0.06,0.19,98.1,5.08,38,4.1,,-0.1,5.9,59,.616,.525,$11000000,Free Agency
14,Mariano Rivera\riverma01,36,NYY,75.0,63,0,16,1.92,5.01,-0.32,-0.37,99.9,4.95,24,2.4,1.72,0.7,3.9,34,.539,.515,$10500000,Amateur Free Agent
15,Jason Schmidt\schmija01,33,SFG,213.1,32,32,94,3.97,4.84,0.19,0.19,100.7,4.88,22,2.3,,-0.1,4.0,41,.571,.514,$10500000,Traded
16,Billy Wagner*\wagnebi02,34,NYM,72.1,70,0,22,2.74,4.96,0.17,-0.36,95.6,4.23,12,1.2,1.78,0.3,2.2,19,.517,.508,$10500000,Free Agency
